x,y
4037340.9906192366,3480674.3420704273
4036489.351676876,3481408.746391682
4035637.7127345153,3482143.150712936
4038035.5133045414,3481479.732981183
4037183.874362181,3482214.137302438
4036332.23541982,3482948.541623692
4038730.0359898456,3482285.123891939
4037878.397047485,3483019.5282131936
4037026.7581051243,3483753.932534448
4040276.1976175113,3482356.11048144
4039424.5586751504,3483090.514802695
4038572.91973279,3483824.9191239495
4037721.280790429,3484559.3234452037
4040970.720302816,3483161.5013921955
4040119.081360455,3483895.90571345
4039267.4424180947,3484630.310034705
4038415.803475734,3485364.714355959
4041665.2429881203,3483966.8923029513
4040813.6040457594,3484701.296624206
4039961.965103399,3485435.7009454607
4039110.326161038,3486170.105266715
4043211.4046157855,3484037.8788924525
4042359.765673425,3484772.283213707
4041508.126731064,3485506.687534962
4040656.4877887038,3486241.0918562165
4039804.848846343,3486975.496177471
4043905.9273010897,3484843.2698032083
4043054.2883587293,3485577.674124463
4042202.6494163685,3486312.0784457177
4041351.010474008,3487046.4827669724
4040499.371531647,3487780.8870882266
4044600.4499863945,3485648.660713964
4043748.811044034,3486383.065035219
4042897.172101673,3487117.4693564735
4042045.533159313,3487851.873677728
4041193.894216952,3488586.2779989825
4046146.611614059,3485719.6473034653
4045294.972671699,3486454.05162472
4044443.3337293384,3487188.4559459747
4043591.6947869775,3487922.8602672294
4042740.055844617,3488657.264588484
4041888.416902256,3489391.6689097383
4046841.134299364,3486525.0382142207
4045989.4953570035,3487259.4425354754
4045137.856414643,3487993.84685673
4044286.2174722822,3488728.2511779848
4043434.578529922,3489462.6554992395
4042582.939587561,3490197.0598204937
4047535.6569846687,3487330.4291249765
4046684.0180423083,3488064.833446231
4045832.379099948,3488799.237767486
4044980.740157587,3489533.6420887406
4044129.1012152266,3490268.0464099953
4043277.4622728657,3491002.4507312495
4049081.818612334,3487401.415714478
4048230.179669973,3488135.8200357324
4047378.5407276126,3488870.224356987
4046526.901785252,3489604.6286782417
4045675.2628428913,3490339.0329994964
4044823.623900531,3491073.437320751
4043971.98495817,3491807.8416420054
4049776.3412976386,3488206.806625234
4048924.7023552777,3488941.210946488
4048073.0634129173,3489675.615267743
4047221.424470557,3490410.0195889976
4046369.785528196,3491144.4239102523
4045518.1465858356,3491878.828231507
4044666.5076434747,3492613.232552761
4050470.863982943,3489012.19753599
4049619.225040582,3489746.601857244
4048767.5860982216,3490481.0061784987
4047915.947155861,3491215.4104997534
4047064.3082135003,3491949.814821008
4046212.66927114,3492684.219142263
4045361.030328779,3493418.623463517
4051165.3866682476,3489817.5884467456
4050313.7477258868,3490551.992768
4049462.1087835263,3491286.3970892546
4048610.469841166,3492020.8014105093
4047758.830898805,3492755.205731764
4046907.1919564446,3493489.6100530187
4046055.5530140838,3494224.014374273
4052711.548295913,3489888.5750362463
4051859.9093535524,3490622.979357501
4051008.2704111915,3491357.3836787553
4050156.631468831,3492091.78800001
4049304.9925264707,3492826.1923212647
4048453.35358411,3493560.5966425193
4047601.7146417494,3494295.000963774
4046750.0756993885,3495029.4052850283
4053406.070981217,3490693.965947002
4052554.4320388567,3491428.370268257
4051702.793096496,3492162.774589511
4050851.1541541354,3492897.178910766
4049999.515211775,3493631.5832320205
4049147.876269414,3494365.987553275
4048296.2373270537,3495100.39187453
4047444.598384693,3495834.796195784
4054100.593666522,3491499.356857758
4053248.9547241614,3492233.7611790127
4052397.3157818005,3492968.165500267
4051545.67683944,3493702.5698215216
4050694.0378970797,3494436.9741427763
4049842.398954719,3495171.378464031
4048990.7600123584,3495905.7827852857
4048139.1210699975,3496640.18710654
4055646.755294187,3491570.343447259
4054795.116351826,3492304.747768514
4053943.4774094657,3493039.1520897686
4053091.838467105,3493773.556411023
4052240.1995247444,3494507.9607322775
4051388.560582384,3495242.365053532
4050536.921640023,3495976.769374787
4049685.2826976627,3496711.1736960416
4048833.643755302,3497445.578017296
4056341.2779794917,3492375.734358015
4055489.639037131,3493110.1386792697
4054638.0000947705,3493844.5430005244
4053786.3611524096,3494578.9473217786
4052934.722210049,3495313.3516430333
4052083.0832676888,3496047.755964288
4051231.444325328,3496782.1602855427
4050379.8053829675,3497516.5646067974
4049528.1664406066,3498250.9689280516
4055332.5227800747,3494649.93391128
4054480.883837714,3495384.338232534
4053629.2448953534,3496118.7425537887
4052777.605952993,3496853.1468750434
4051925.967010632,3497587.551196298
4051074.3280682717,3498321.955517553
4050222.689125911,3499056.359838807
4051768.8507535765,3499127.3464283086
4050917.2118112156,3499861.750749563
