x,y
4057916.9639428677,3493649.3825114104
4057097.5672048666,3494256.332471616
4056278.170466865,3494863.282431822
4059367.51557203,3493894.5065159444
4058548.1188340285,3494501.4564761496
4057728.7220960273,3495108.4064363553
4056909.3253580257,3495715.356396561
4056089.9286200246,3496322.3063567663
4055270.531882023,3496929.256316972
4054451.135144022,3497536.2062771777
4053631.73840602,3498143.156237383
4059998.670463191,3494746.580480684
4059179.2737251893,3495353.5304408893
4058359.876987188,3495960.480401095
4057540.4802491865,3496567.4303613007
4056721.0835111854,3497174.380321506
4055901.6867731838,3497781.3302817116
4055082.2900351826,3498388.2802419174
4054262.893297181,3498995.2302021226
4053443.4965591794,3499602.1801623283
4052624.0998211782,3500209.130122534
4051804.7030831766,3500816.0800827392
4061449.2220923533,3494991.704485218
4060629.825354352,3495598.6544454237
4059810.4286163505,3496205.604405629
4058991.0318783494,3496812.5543658347
4058171.6351403478,3497419.5043260404
4057352.2384023466,3498026.4542862456
4056532.841664345,3498633.4042464513
4055713.444926344,3499240.354206657
4054894.0481883422,3499847.3041668623
4054074.6514503406,3500454.254127068
4053255.2547123395,3501061.2040872737
4052435.857974338,3501668.154047479
4051616.4612363367,3502275.1040076846
4050797.064498335,3502882.05396789
4049977.667760334,3503489.0039280956
4049158.2710223324,3504095.9538883013
4062080.376983514,3495843.7784499577
4061260.980245513,3496450.7284101634
4060441.5835075113,3497057.6783703687
4059622.18676951,3497664.6283305744
4058802.7900315085,3498271.57829078
4057983.3932935074,3498878.5282509853
4057163.996555506,3499485.478211191
4056344.5998175046,3500092.4281713967
4055525.203079503,3500699.378131602
4054705.8063415014,3501306.3280918077
4053886.4096035003,3501913.2780520134
4053067.0128654987,3502520.2280122186
4052247.6161274975,3503127.1779724243
4051428.219389496,3503734.1279326295
4050608.8226514948,3504341.0778928353
4049789.425913493,3504948.027853041
4048970.029175492,3505554.977813246
4048150.6324374904,3506161.927773452
4047331.2356994892,3506768.8777336576
4063530.9286126764,3496088.9024544917
4062711.531874675,3496695.8524146974
4061892.1351366737,3497302.802374903
4061072.738398672,3497909.7523351084
4060253.341660671,3498516.702295314
4059433.9449226693,3499123.6522555198
4058614.548184668,3499730.602215725
4057795.1514466666,3500337.5521759307
4056975.7547086654,3500944.5021361364
4056156.357970664,3501551.4520963416
4055336.961232662,3502158.4020565473
4054517.564494661,3502765.352016753
4053698.1677566594,3503372.3019769583
4052878.7710186583,3503979.251937164
4052059.3742806567,3504586.201897369
4051239.9775426555,3505193.151857575
4050420.580804654,3505800.1018177806
4049601.184066653,3506407.051777986
4048781.787328651,3507014.0017381916
4047962.39059065,3507620.9516983973
4047142.9938526484,3508227.9016586025
4057606.909599826,3501796.5761008756
4056787.5128618246,3502403.526061081
4055968.116123823,3503010.4760212866
4055148.719385822,3503617.4259814923
4054329.32264782,3504224.3759416975
4053509.925909819,3504831.325901903
4052690.5291718175,3505438.2758621085
4051871.1324338163,3506045.225822314
4051051.7356958147,3506652.17578252
4050232.3389578136,3507259.125742725
4049412.942219812,3507866.075702931
4048593.545481811,3508473.0256631365
4047774.148743809,3509079.9756233417
4046954.752005808,3509686.9255835474
4052502.2873249776,3506897.299787054
4051682.890586976,3507504.2497472595
4050863.493848975,3508111.199707465
4050044.097110973,3508718.1496676705
4049224.700372972,3509325.099627876
4048405.3036349704,3509932.0495880814
4047585.9068969693,3510538.999548287
4048217.06178813,3511391.073513027
