,REWS,P,X,Y,YLD,index,id,name,x,y,h,D
97,4.594615513470131,1090.9093382340895,297184.82404139003,6044685.769425193,9.556365802930626,97,97,T97,297184.82404139003,6044685.769425193,150.0,240.0
98,6.235416106821798,3052.2053077810865,292744.82404139003,6045405.769425193,26.73731849616232,98,98,T98,292744.82404139003,6045405.769425193,150.0,240.0
99,5.68878166469133,2274.135102576262,297064.82404139003,6037725.769425193,19.921423498568053,99,99,T99,297064.82404139003,6037725.769425193,150.0,240.0
100,9.323186068607672,10338.174587461532,281824.82404139003,6032805.769425193,90.56240938616301,100,100,T100,281824.82404139003,6032805.769425193,150.0,240.0
101,9.355194628792766,10448.027966016774,285544.82404139003,6035685.769425193,91.52472498230695,101,101,T101,285544.82404139003,6035685.769425193,150.0,240.0
102,6.549475503031611,3580.7672716022016,292384.82404139003,6038325.769425193,31.367521299235282,102,102,T102,292384.82404139003,6038325.769425193,150.0,240.0
103,8.524442643655599,7922.168384765585,294424.82404139003,6036045.769425193,69.39819505054652,103,103,T103,294424.82404139003,6036045.769425193,150.0,240.0
104,6.916015461994703,4197.6540225370845,294904.82404139003,6044325.769425193,36.77144923742486,104,104,T104,294904.82404139003,6044325.769425193,150.0,240.0
105,4.692677785145576,1172.6932728114102,282904.82404139003,6031125.769425193,10.272793069827953,105,105,T105,282904.82404139003,6031125.769425193,150.0,240.0
106,6.316929831340545,3189.3929061461367,284224.82404139003,6035925.769425193,27.939081857840158,106,106,T106,284224.82404139003,6035925.769425193,150.0,240.0
107,6.992194055459307,4325.862595338013,290344.82404139003,6037965.769425193,37.89455633516099,107,107,T107,290344.82404139003,6037965.769425193,150.0,240.0
108,5.449978254379302,1981.1233181234038,295504.82404139003,6040965.769425193,17.354640266761017,108,108,T108,295504.82404139003,6040965.769425193,150.0,240.0
109,6.2080125199127085,3006.0850710130885,284344.82404139003,6034125.769425193,26.333305222074653,109,109,T109,284344.82404139003,6034125.769425193,150.0,240.0
110,8.273825473563203,7233.4724013516825,286024.82404139003,6032565.769425193,63.365218235840736,110,110,T110,286024.82404139003,6032565.769425193,150.0,240.0
111,5.214691844564879,1692.426893281106,294064.82404139003,6039525.769425193,14.82565958514249,111,111,T111,294064.82404139003,6039525.769425193,150.0,240.0
112,7.409039826778551,5215.163308959657,294544.82404139003,6041805.769425193,45.6848305864866,112,112,T112,294544.82404139003,6041805.769425193,150.0,240.0
113,8.934166504650769,9048.089554780312,296104.82404139003,6038565.769425193,79.26126449987554,113,113,T113,296104.82404139003,6038565.769425193,150.0,240.0
114,6.059149232286904,2755.5481579388597,286744.82404139003,6038085.769425193,24.138601863544412,114,114,T114,286744.82404139003,6038085.769425193,150.0,240.0
115,9.142172812885281,9716.937093822286,290704.82404139003,6033765.769425193,85.12036894188323,115,115,T115,290704.82404139003,6033765.769425193,150.0,240.0
116,6.243924404942433,3066.524773518115,299464.82404139003,6042045.769425193,26.862757016018687,116,116,T116,299464.82404139003,6042045.769425193,150.0,240.0
117,5.079291902540517,1526.291164417215,293104.82404139003,6046485.769425193,13.370310600294804,117,117,T117,293104.82404139003,6046485.769425193,150.0,240.0
118,5.879856681941254,2508.5841487419184,291304.82404139003,6038805.769425193,21.975197142979205,118,118,T118,291304.82404139003,6038805.769425193,150.0,240.0
119,5.7186366746949755,2310.767199850735,286384.82404139003,6034485.769425193,20.242320670692436,119,119,T119,286384.82404139003,6034485.769425193,150.0,240.0
120,5.6806145031119755,2264.113995318394,294784.82404139003,6048045.769425193,19.83363859898913,120,120,T120,294784.82404139003,6048045.769425193,150.0,240.0
121,7.3391889993046835,5065.542836510632,287704.82404139003,6037485.769425193,44.37415524783313,121,121,T121,287704.82404139003,6037485.769425193,150.0,240.0
122,6.092769113555084,2812.1304181132064,293704.82404139003,6037485.769425193,24.634262462671686,122,122,T122,293704.82404139003,6037485.769425193,150.0,240.0
123,10.239453322160744,13219.644600601016,283144.82404139003,6029085.769425193,115.80408670126491,123,123,T123,283144.82404139003,6029085.769425193,150.0,240.0
124,6.6914336583287435,3819.6828469672755,283624.82404139003,6034965.769425193,33.460421739433336,124,124,T124,283624.82404139003,6034965.769425193,150.0,240.0
125,7.584144526323323,5590.237575384557,290704.82404139003,6042645.769425193,48.97048116036872,125,125,T125,290704.82404139003,6042645.769425193,150.0,240.0
126,10.239453336288637,13219.644633561391,279784.82404139003,6029085.769425193,115.80408698999778,126,126,T126,279784.82404139003,6029085.769425193,150.0,240.0
127,4.396879406183384,925.9974247569423,292024.82404139003,6040365.769425193,8.111737440870815,127,127,T127,292024.82404139003,6040365.769425193,150.0,240.0
128,5.478437164520567,2016.0424008667362,289744.82404139003,6033165.769425193,17.66053143159261,128,128,T128,289744.82404139003,6033165.769425193,150.0,240.0
129,5.201846671521846,1676.665865957305,299704.82404139003,6040005.769425193,14.687592985785992,129,129,T129,299704.82404139003,6040005.769425193,150.0,240.0
130,7.572810544855442,5565.960187080357,295024.82404139003,6036885.769425193,48.757811238823926,130,130,T130,295024.82404139003,6036885.769425193,150.0,240.0
131,9.121361285399578,9645.511931491352,292264.82404139003,6036165.769425193,84.49468451986424,131,131,T131,292264.82404139003,6036165.769425193,150.0,240.0
132,6.051059128005957,2741.932512434026,290944.82404139003,6040005.769425193,24.01932880892207,132,132,T132,290944.82404139003,6040005.769425193,150.0,240.0
133,8.419965018307005,7635.06387030765,282278.42664909153,6039815.14875722,66.88315950389502,0,0,T0,282278.42664909153,6039815.14875722,150.0,240.0
134,6.04028403819732,2723.798036286089,286238.42664909153,6041975.14875722,23.86047079786614,1,1,T1,286238.42664909153,6041975.14875722,150.0,240.0
135,7.607840496370965,5640.994343226607,280358.42664909153,6039935.14875722,49.415110446665075,2,2,T2,280358.42664909153,6039935.14875722,150.0,240.0
136,3.923212093035318,554.686348843542,276038.42664909153,6035135.14875722,4.859052415869428,3,3,T3,276038.42664909153,6035135.14875722,150.0,240.0
137,4.484579537067762,999.1393339145134,287798.42664909153,6052775.14875722,8.752460565091138,4,4,T4,287798.42664909153,6052775.14875722,150.0,240.0
138,6.144523992944713,2899.233880125951,281558.42664909153,6042815.14875722,25.39728878990333,5,5,T5,281558.42664909153,6042815.14875722,150.0,240.0
139,4.563918651361747,1065.3081552356969,288998.42664909153,6044735.14875722,9.332099439864704,6,6,T6,288998.42664909153,6044735.14875722,150.0,240.0
