Cluster,Scenario,Yield (TWh),Percentage of no wakes
N9_1,internal + external wakes,5.588835707457575,49.285223792049216
N9_2,internal + external wakes,6.222786070540201,54.875723701697034
N9_3,internal + external wakes,5.901525822012966,69.21677214765694
N9_1,internal wakes,8.216854699345495,72.46044505899766
N9_2,internal wakes,8.240770025154584,72.67134268531149
N9_3,internal wakes,6.428455571368152,75.39693258394551
N9_1,no wakes,11.339779506812702,100.0
N9_2,no wakes,11.339779506812702,100.0
N9_3,no wakes,8.526150005122332,100.0
