,x,y
0,307913.7471386329,6055303.637189328
1,317153.8369413567,6050161.969903737
2,308925.79037201405,6055896.694175766
3,310440.6745041532,6056784.41575581
4,316159.2353376852,6049539.813316147
5,313919.1611515044,6048138.571948268
6,315164.63373401365,6048917.656728556
7,308667.77090086055,6054404.010712603
8,316318.06575035444,6050986.447116811
9,310077.72698500834,6055668.506939263
10,311276.4456951555,6055959.938542737
11,315121.8902606079,6050089.9221107345
12,314057.060793584,6049303.901460744
13,309836.38438920025,6054519.771587694
14,309517.2227518595,6053390.528891284
15,312886.0033698118,6049371.23349238
16,315482.29455935216,6051810.924329884
17,310968.38708687935,6054827.914682327
18,312112.21688615775,6055135.461329663
19,314014.3173201784,6050476.166842923
20,310271.2465140871,6052490.902414559
21,310654.3734781285,6053678.1199037405
22,312131.97960758425,6050270.859969105
23,314646.5233683499,6052635.401542958
24,312947.98807716003,6054310.98411659
25,311804.1582778816,6054003.437469253
26,314008.5984281115,6051650.251126146
27,311025.27027631475,6051591.275937836
28,313810.75217734755,6053459.878756031
29,312985.295886249,6051075.979161033
30,311408.397240356,6052778.493427016
31,312639.9294688839,6053178.96025618
32,312327.0535288642,6052048.126601058
