,x,y
0,339503.05,6123463.22
1,340014.96,6121665.24
2,327199.87,6120059.37
3,328566.96,6117180.46
4,327827.77,6118737.09
5,338674.70,6122255.14
6,338085.57,6120914.52
7,337344.35,6122865.97
8,328611.09,6120449.80
9,329267.53,6118467.14
10,336755.22,6121525.36
11,330654.88,6117999.50
12,329913.88,6119780.70
13,335561.17,6122372.63
14,336192.98,6120172.02
15,330686.73,6121024.06
16,331301.22,6119313.05
17,334998.94,6121019.29
18,332668.52,6118789.40
19,334698.24,6119585.60
20,332097.94,6121414.49
21,333823.71,6121891.94
22,332953.90,6120226.87
