,x,y
0,324721.64777525805,6094904.859212373
1,338535.8160659921,6070574.2764447015
2,324762.00018753525,6093165.354782863
3,326491.17677478795,6092968.202434765
4,338885.004177918,6072279.936260881
5,324802.35259981244,6091425.850353352
6,337199.20047164796,6071689.624970792
7,339234.19228984386,6073985.59607706
8,326531.52918706526,6091228.698005254
9,337548.3885835737,6073395.284786971
10,324842.7050120896,6089686.345923841
11,335862.58487730386,6072804.973496882
12,339330.20316409395,6075722.366181671
13,328260.7057743179,6091031.545657157
14,337694.92870790977,6075129.572548703
15,326571.88159934233,6089489.193575744
16,324883.05742436677,6087946.84149433
17,339392.2537653627,6077460.80464751
18,336060.6429335967,6074534.015735015
19,334393.5625874292,6074030.809745343
20,329433.99381091725,6089747.443374136
21,339094.071185832,6079174.994815612
22,337756.97930917866,6076868.011014543
23,324923.40983664396,6086207.337064819
24,326612.2340116196,6087749.689146233
25,328138.31144494395,6088586.931990181
26,336122.69353486545,6076272.4542008545
27,324963.7622489211,6084467.832635309
28,333056.94699308515,6075146.158271434
29,337458.79672964814,6078582.201182645
30,325004.1146611983,6082728.328205798
31,330607.2818475166,6088463.341091116
32,337920.7831492326,6080459.097098633
33,326652.5864238968,6086010.184716722
34,334381.3318511591,6076275.0013354765
35,328178.6638572207,6086847.42756067
36,325816.1706837817,6081188.2763033565
37,335824.5109553351,6077986.644368957
38,331720.3313987411,6076261.506797524
39,326692.93883617385,6084270.680287211
40,331780.569884116,6087179.238808096
41,329919.3068877582,6086864.603216603
42,336747.4951126332,6081743.199381653
43,336285.5086930488,6079866.303465665
44,327152.7862781256,6080072.927777265
45,333044.71625681495,6077390.349861567
46,326907.9034472322,6082544.145899575
47,330383.71580439707,6077376.855323615
48,328219.01626949775,6085107.9231311595
49,328489.4018724695,6078957.579251174
50,332953.85792071547,6085895.136525077
51,334223.38672159344,6078669.573796044
52,335574.20707603387,6083027.301664674
53,331092.5949243577,6085580.500933584
54,334127.14595731493,6084611.034242057
55,335112.2206564494,6081150.405748686
56,328433.9808805563,6083381.3887435235
57,331708.10066247085,6078505.698387657
58,328244.51904157596,6081428.797373484
59,330184.82832315343,6079347.621248218
60,329906.4765091825,6084308.027427863
61,333598.09614475514,6080293.220659786
62,332265.88296095724,6084296.398650564
63,333839.2038553129,6082895.325042608
64,329948.0004388064,6081070.91252562
65,331859.2356616322,6080239.760417664
66,330566.75300622836,6082696.898726537
67,332422.5173216299,6081885.5944266245
