Time [UTC],u100,v100,u10,v10
2004-01-01 00:00:00,-4.945,10.789,-4.42,9.628
2004-01-01 01:00:00,-3.772,11.982,-3.358,10.524
2004-01-01 02:00:00,-3.544,11.848,-3.205,10.405
2004-01-01 03:00:00,-4.647,12.135,-4.173,10.668
2004-01-01 04:00:00,-5.393,12.556,-4.794,10.965
2004-01-01 05:00:00,-5.738,12.907,-5.086,11.207
2004-01-01 06:00:00,-5.866,13.219,-5.178,11.397
2004-01-01 07:00:00,-6.207,13.249,-5.462,11.408
2004-01-01 08:00:00,-6.616,13.262,-5.774,11.359
2004-01-01 09:00:00,-6.89,13.779,-5.975,11.74
2004-01-01 10:00:00,-7.612,14.565,-6.559,12.333
2004-01-01 11:00:00,-8.504,14.185,-7.262,11.945
2004-01-01 12:00:00,-8.809,13.895,-7.511,11.738
2004-01-01 13:00:00,-8.928,13.324,-7.624,11.282
2004-01-01 14:00:00,-9.001,12.381,-7.732,10.552
2004-01-01 15:00:00,-9.406,11.778,-8.136,10.1
2004-01-01 16:00:00,-10.275,11.184,-8.911,9.619
2004-01-01 17:00:00,-11.492,10.551,-9.936,9.06
2004-01-01 18:00:00,-12.645,9.61,-10.844,8.181
2004-01-01 19:00:00,-12.809,8.755,-10.924,7.405
2004-01-01 20:00:00,-12.566,8.364,-10.763,7.112
2004-01-01 21:00:00,-12.031,7.962,-10.381,6.843
2004-01-01 22:00:00,-11.889,7.657,-10.298,6.614
2004-01-01 23:00:00,-11.645,7.165,-10.169,6.251
2004-01-02 00:00:00,-11.469,6.722,-10.088,5.924
2004-01-02 01:00:00,-11.747,6.115,-10.39,5.427
2004-01-02 02:00:00,-12.248,5.833,-10.812,5.173
2004-01-02 03:00:00,-12.424,5.825,-10.942,5.142
2004-01-02 04:00:00,-12.354,5.495,-10.871,4.829
2004-01-02 05:00:00,-12.008,4.826,-10.614,4.27
2004-01-02 06:00:00,-11.49,3.927,-10.231,3.504
2004-01-02 07:00:00,-11.184,3.247,-10.013,2.923
2004-01-02 08:00:00,-10.813,3.126,-9.722,2.82
2004-01-02 09:00:00,-10.223,2.672,-9.251,2.407
2004-01-02 10:00:00,-9.649,3.043,-8.787,2.753
2004-01-02 11:00:00,-9.364,1.76,-8.559,1.567
2004-01-02 12:00:00,-9.311,0.286,-8.557,0.225
2004-01-02 13:00:00,-9.55,-0.872,-8.764,-0.827
2004-01-02 14:00:00,-9.684,-1.416,-8.867,-1.305
2004-01-02 15:00:00,-8.728,-1.539,-8.072,-1.432
2004-01-02 16:00:00,-7.439,-1.614,-6.988,-1.524
2004-01-02 17:00:00,-6.727,-1.382,-6.368,-1.319
2004-01-02 18:00:00,-6.22,-0.812,-5.913,-0.795
