Time [UTC],u100,v100,u10,v10
1990-01-01 00:00:00,-3.312,2.645,-3.204,2.558
1990-01-01 01:00:00,-3.058,2.594,-2.969,2.517
1990-01-01 02:00:00,-3.019,2.262,-2.938,2.218
1990-01-01 03:00:00,-3.044,2.034,-2.97,2.004
1990-01-01 04:00:00,-3.128,1.892,-3.052,1.868
1990-01-01 05:00:00,-3.243,1.883,-3.172,1.871
1990-01-01 06:00:00,-3.469,1.9,-3.392,1.904
1990-01-01 07:00:00,-3.694,1.969,-3.603,1.957
1990-01-01 08:00:00,-3.684,1.815,-3.607,1.833
1990-01-01 09:00:00,-3.753,2.058,-3.654,2.032
1990-01-01 10:00:00,-3.972,2.409,-3.843,2.339
1990-01-01 11:00:00,-4.006,2.719,-3.867,2.644
1990-01-01 12:00:00,-3.734,3.019,-3.597,2.943
1990-01-01 13:00:00,-3.604,2.825,-3.481,2.764
1990-01-01 14:00:00,-3.963,2.72,-3.806,2.666
1990-01-01 15:00:00,-4.251,2.701,-4.074,2.66
1990-01-01 16:00:00,-4.594,2.786,-4.383,2.734
1990-01-01 17:00:00,-4.941,3.107,-4.697,3.026
1990-01-01 18:00:00,-5.13,3.509,-4.863,3.395
1990-01-01 19:00:00,-5.14,4.013,-4.865,3.86
1990-01-01 20:00:00,-5.207,4.36,-4.914,4.175
1990-01-01 21:00:00,-4.993,4.542,-4.71,4.355
1990-01-01 22:00:00,-5.078,4.625,-4.77,4.399
1990-01-01 23:00:00,-4.778,4.664,-4.502,4.49
1990-01-02 00:00:00,-4.454,4.299,-4.228,4.163
1990-01-02 01:00:00,-4.386,4.113,-4.176,3.995
1990-01-02 02:00:00,-4.456,3.987,-4.255,3.868
1990-01-02 03:00:00,-4.037,4.337,-3.856,4.2
1990-01-02 04:00:00,-3.693,4.604,-3.535,4.449
1990-01-02 05:00:00,-3.686,4.661,-3.532,4.485
1990-01-02 06:00:00,-2.861,5.015,-2.745,4.816
1990-01-02 07:00:00,-2.195,4.991,-2.131,4.785
1990-01-02 08:00:00,-1.874,4.876,-1.849,4.674
1990-01-02 09:00:00,-1.364,4.99,-1.385,4.783
1990-01-02 10:00:00,0.309,4.736,0.178,4.547
1990-01-02 11:00:00,-0.133,4.502,-0.223,4.326
1990-01-02 12:00:00,-0.738,4.443,-0.785,4.284
1990-01-02 13:00:00,-0.96,4.655,-0.993,4.477
1990-01-02 14:00:00,-1.223,4.835,-1.245,4.638
1990-01-02 15:00:00,-0.659,5.035,-0.713,4.833
1990-01-02 16:00:00,-0.404,5.447,-0.475,5.207
1990-01-02 17:00:00,-0.4,5.871,-0.476,5.579
1990-01-02 18:00:00,-0.086,6.014,-0.196,5.7
1990-01-02 19:00:00,-0.735,6.193,-0.798,5.857
1990-01-02 20:00:00,-1.345,6.545,-1.364,6.16
1990-01-02 21:00:00,-1.351,6.826,-1.358,6.416
1990-01-02 22:00:00,-0.714,6.933,-0.778,6.512
1990-01-02 23:00:00,-1.267,6.759,-1.291,6.341
1990-01-03 00:00:00,-1.269,6.421,-1.3,6.051
1990-01-03 01:00:00,-1.174,6.458,-1.227,6.091
1990-01-03 02:00:00,-1.965,6.043,-1.982,5.712
1990-01-03 03:00:00,-3.11,6.266,-3.035,5.907
1990-01-03 04:00:00,-3.478,6.516,-3.356,6.122
1990-01-03 05:00:00,-4.217,6.469,-4.024,6.054
1990-01-03 06:00:00,-4.91,6.459,-4.628,6.012
1990-01-03 07:00:00,-5.211,6.81,-4.864,6.286
1990-01-03 08:00:00,-5.291,7.1,-4.917,6.525
1990-01-03 09:00:00,-5.421,7.681,-5.002,7.02
