Time [UTC],u100,v100,u10,v10
1998-01-01 00:00:00,6.39,2.967,5.39,2.622
1998-01-01 01:00:00,5.79,3.474,4.898,3.08
1998-01-01 02:00:00,5.161,4.156,4.36,3.675
1998-01-01 03:00:00,4.307,5.199,3.584,4.583
1998-01-01 04:00:00,3.945,6.672,3.223,5.814
1998-01-01 05:00:00,4.198,7.975,3.432,6.874
1998-01-01 06:00:00,4.262,9.112,3.407,7.744
1998-01-01 07:00:00,4.399,10.2,3.442,8.507
1998-01-01 08:00:00,4.478,11.128,3.409,9.115
1998-01-01 09:00:00,4.616,12.085,3.539,9.839
1998-01-01 10:00:00,5.067,13.074,3.87,10.58
1998-01-01 11:00:00,3.855,13.423,2.86,10.846
1998-01-01 12:00:00,2.879,13.979,2.064,11.262
1998-01-01 13:00:00,3.564,14.144,2.688,11.451
1998-01-01 14:00:00,4.753,14.395,3.756,11.785
1998-01-01 15:00:00,4.258,15.051,3.27,12.168
1998-01-01 16:00:00,3.996,15.689,3.069,12.622
1998-01-01 17:00:00,3.325,16.348,2.483,13.121
1998-01-01 18:00:00,2.416,17.048,1.659,13.657
1998-01-01 19:00:00,1.262,17.613,0.756,13.992
1998-01-01 20:00:00,-0.177,17.761,-0.39,13.99
1998-01-01 21:00:00,-0.723,18.38,-0.844,14.489
1998-01-01 22:00:00,-1.138,19.246,-1.188,15.062
1998-01-01 23:00:00,-1.285,20.435,-1.252,16.02
1998-01-02 00:00:00,-0.878,22.037,-0.888,17.228
1998-01-02 01:00:00,0.348,23.043,0.13,17.981
1998-01-02 02:00:00,1.476,22.281,1.067,17.33
1998-01-02 03:00:00,3.472,21.566,2.588,16.78
1998-01-02 04:00:00,3.852,20.253,2.807,16.021
1998-01-02 05:00:00,3.639,18.949,2.607,14.872
1998-01-02 06:00:00,4.188,16.714,2.916,12.895
1998-01-02 07:00:00,4.514,13.819,3.022,10.988
1998-01-02 08:00:00,4.838,11.791,3.248,9.254
1998-01-02 09:00:00,4.228,11.844,2.785,9.288
1998-01-02 10:00:00,2.913,12.48,1.777,9.792
1998-01-02 11:00:00,2.189,13.182,1.275,10.316
1998-01-02 12:00:00,0.938,12.762,0.321,10.101
1998-01-02 13:00:00,-1.599,12.195,-1.696,9.56
1998-01-02 14:00:00,-4.186,12.172,-3.675,9.033
1998-01-02 15:00:00,-5.368,12.326,-4.61,9.115
1998-01-02 16:00:00,-5.271,12.41,-4.562,9.215
