Time [UTC],u100,v100,u10,v10
1992-01-01 00:00:00,14.852,7.436,10.706,5.733
1992-01-01 01:00:00,14.535,8.259,10.287,6.249
1992-01-01 02:00:00,15.21,9.092,10.601,6.756
1992-01-01 03:00:00,15.176,10.704,10.871,8.101
1992-01-01 04:00:00,15.206,11.766,11.453,9.112
1992-01-01 05:00:00,14.327,12.449,10.464,9.596
1992-01-01 06:00:00,15.72,12.963,11.403,9.913
1992-01-01 07:00:00,17.825,13.161,13.259,10.041
1992-01-01 08:00:00,18.383,10.925,13.595,8.591
1992-01-01 09:00:00,18.567,8.702,13.795,6.904
1992-01-01 10:00:00,18.008,7.933,12.767,6.223
1992-01-01 11:00:00,18.835,6.087,14.221,5.057
1992-01-01 12:00:00,18.415,5.036,13.8,4.22
1992-01-01 13:00:00,18.023,4.279,13.469,3.616
1992-01-01 14:00:00,18.139,3.205,13.601,2.839
1992-01-01 15:00:00,17.41,3.356,13.035,2.972
1992-01-01 16:00:00,17.241,3.685,12.912,3.227
1992-01-01 17:00:00,17.538,3.267,13.121,2.92
1992-01-01 18:00:00,17.314,3.062,12.897,2.767
1992-01-01 19:00:00,16.98,3.698,12.6,3.275
1992-01-01 20:00:00,16.556,5.102,12.267,4.331
1992-01-01 21:00:00,16.924,6.388,12.614,5.289
1992-01-01 22:00:00,17.073,6.967,12.743,5.71
1992-01-01 23:00:00,17.417,7.355,13.003,5.982
1992-01-02 00:00:00,17.884,7.207,13.355,5.807
1992-01-02 01:00:00,18.018,6.867,13.418,5.549
1992-01-02 02:00:00,17.868,7.175,13.277,5.783
1992-01-02 03:00:00,17.594,8.196,13.078,6.541
1992-01-02 04:00:00,17.831,9.127,13.267,7.221
1992-01-02 05:00:00,17.899,9.16,13.293,7.209
1992-01-02 06:00:00,18.314,9.275,13.606,7.279
1992-01-02 07:00:00,18.675,8.856,13.89,6.957
1992-01-02 08:00:00,18.693,8.316,13.98,6.572
1992-01-02 09:00:00,18.7,7.904,14.066,6.297
1992-01-02 10:00:00,18.466,7.991,13.853,6.373
1992-01-02 11:00:00,18.23,8.307,13.68,6.6
1992-01-02 12:00:00,18.539,8.143,13.885,6.463
1992-01-02 13:00:00,18.146,8.047,13.608,6.387
1992-01-02 14:00:00,18.354,7.673,13.765,6.127
1992-01-02 15:00:00,17.974,7.892,13.492,6.297
1992-01-02 16:00:00,17.674,8.178,13.233,6.503
1992-01-02 17:00:00,17.528,7.941,13.086,6.309
1992-01-02 18:00:00,17.885,8.093,13.322,6.427
1992-01-02 19:00:00,17.895,8.805,13.27,6.951
1992-01-02 20:00:00,18.003,9.555,13.318,7.473
1992-01-02 21:00:00,18.383,9.952,13.568,7.736
1992-01-02 22:00:00,18.961,9.04,13.911,7.031
1992-01-02 23:00:00,18.867,9.015,13.865,7.039
1992-01-03 00:00:00,18.593,9.277,13.699,7.254
