Time [UTC],u100,v100,u10,v10
2021-01-01 00:00:00,0.405,-3.951,0.399,-3.737
2021-01-01 01:00:00,0.457,-4.482,0.451,-4.22
2021-01-01 02:00:00,0.559,-4.801,0.538,-4.492
2021-01-01 03:00:00,0.73,-4.938,0.701,-4.614
2021-01-01 04:00:00,1.248,-4.734,1.176,-4.422
2021-01-01 05:00:00,1.807,-4.341,1.692,-4.057
2021-01-01 06:00:00,2.254,-3.759,2.091,-3.515
2021-01-01 07:00:00,2.989,-2.948,2.783,-2.758
2021-01-01 08:00:00,3.94,-2.566,3.676,-2.382
2021-01-01 09:00:00,4.657,-2.347,4.341,-2.147
2021-01-01 10:00:00,5.777,-3.834,5.342,-3.458
2021-01-01 11:00:00,5.588,-3.814,5.172,-3.474
2021-01-01 12:00:00,5.309,-2.981,4.948,-2.722
2021-01-01 13:00:00,5.608,-2.226,5.227,-2.032
2021-01-01 14:00:00,5.786,-1.75,5.375,-1.603
2021-01-01 15:00:00,5.771,-1.417,5.354,-1.289
2021-01-01 16:00:00,5.88,-1.661,5.443,-1.514
2021-01-01 17:00:00,5.961,-2.606,5.495,-2.362
2021-01-01 18:00:00,5.35,-3.751,4.926,-3.408
2021-01-01 19:00:00,4.164,-4.85,3.855,-4.416
2021-01-01 20:00:00,2.609,-5.686,2.442,-5.189
2021-01-01 21:00:00,0.845,-6.23,0.825,-5.687
2021-01-01 22:00:00,1.985,-5.873,1.879,-5.354
2021-01-01 23:00:00,0.773,-6.374,0.748,-5.86
2021-01-02 00:00:00,-0.224,-6.102,-0.166,-5.646
2021-01-02 01:00:00,-0.623,-5.875,-0.539,-5.442
2021-01-02 02:00:00,-0.932,-5.786,-0.834,-5.363
2021-01-02 03:00:00,-1.152,-5.238,-1.056,-4.882
2021-01-02 04:00:00,-1.072,-4.656,-0.994,-4.37
2021-01-02 05:00:00,-0.717,-4.276,-0.671,-4.023
2021-01-02 06:00:00,-0.555,-4.125,-0.522,-3.879
2021-01-02 07:00:00,-0.637,-4.034,-0.621,-3.796
2021-01-02 08:00:00,-1.142,-3.709,-1.113,-3.506
2021-01-02 09:00:00,-1.954,-3.325,-1.905,-3.154
2021-01-02 10:00:00,-4.264,-2.03,-4.079,-1.925
2021-01-02 11:00:00,-4.677,-1.253,-4.475,-1.187
2021-01-02 12:00:00,-4.675,-0.891,-4.452,-0.839
2021-01-02 13:00:00,-4.624,-0.999,-4.404,-0.928
2021-01-02 14:00:00,-5.062,-0.97,-4.796,-0.9
2021-01-02 15:00:00,-5.668,-0.995,-5.304,-0.939
2021-01-02 16:00:00,-6.056,-1.159,-5.661,-1.111
2021-01-02 17:00:00,-6.495,-1.26,-6.048,-1.214
2021-01-02 18:00:00,-7.068,-1.701,-6.526,-1.586
2021-01-02 19:00:00,-7.973,-1.676,-7.291,-1.53
2021-01-02 20:00:00,-8.433,-0.968,-7.664,-0.877
2021-01-02 21:00:00,-8.38,-0.5,-7.6,-0.463
2021-01-02 22:00:00,-8.007,-0.696,-7.285,-0.665
2021-01-02 23:00:00,-8.312,-0.571,-7.561,-0.545
2021-01-03 00:00:00,-9.011,-0.611,-8.152,-0.578
2021-01-03 01:00:00,-9.988,-0.72,-8.951,-0.666
2021-01-03 02:00:00,-10.885,-0.962,-9.621,-0.885
2021-01-03 03:00:00,-11.713,-1.509,-10.279,-1.356
2021-01-03 04:00:00,-11.923,-1.695,-10.435,-1.521
2021-01-03 05:00:00,-11.638,-2.277,-10.187,-2.042
2021-01-03 06:00:00,-11.648,-3.043,-10.255,-2.732
2021-01-03 07:00:00,-11.98,-3.572,-10.518,-3.191
2021-01-03 08:00:00,-12.197,-3.942,-10.647,-3.508
2021-01-03 09:00:00,-12.405,-3.969,-10.81,-3.535
2021-01-03 10:00:00,-10.733,-3.441,-9.508,-3.117
2021-01-03 11:00:00,-10.678,-4.178,-9.497,-3.768
2021-01-03 12:00:00,-11.209,-4.587,-9.947,-4.112
2021-01-03 13:00:00,-11.325,-4.388,-10.036,-3.913
2021-01-03 14:00:00,-11.326,-3.915,-10.06,-3.499
2021-01-03 15:00:00,-11.083,-3.77,-9.841,-3.373
2021-01-03 16:00:00,-11.357,-4.16,-10.045,-3.727
2021-01-03 17:00:00,-12.53,-4.183,-10.951,-3.71
2021-01-03 18:00:00,-13.496,-4.252,-11.644,-3.723
2021-01-03 19:00:00,-13.968,-4.445,-11.987,-3.87
2021-01-03 20:00:00,-14.439,-5.017,-12.303,-4.329
2021-01-03 21:00:00,-15.174,-5.283,-12.817,-4.509
2021-01-03 22:00:00,-15.338,-5.834,-12.871,-4.956
2021-01-03 23:00:00,-14.517,-5.713,-12.278,-4.906
2021-01-04 00:00:00,-14.195,-5.453,-12.09,-4.738
2021-01-04 01:00:00,-14.074,-5.389,-12.05,-4.718
2021-01-04 02:00:00,-13.934,-5.772,-11.963,-5.043
2021-01-04 03:00:00,-13.351,-6.343,-11.512,-5.558
2021-01-04 04:00:00,-12.824,-7.084,-11.093,-6.191
2021-01-04 05:00:00,-12.184,-7.503,-10.566,-6.578
2021-01-04 06:00:00,-11.592,-7.546,-10.072,-6.627
2021-01-04 07:00:00,-11.115,-7.685,-9.686,-6.77
2021-01-04 08:00:00,-10.891,-7.295,-9.527,-6.458
2021-01-04 09:00:00,-10.712,-6.46,-9.466,-5.773
2021-01-04 10:00:00,-10.245,-5.928,-9.159,-5.315
