Time [UTC],u100,v100,u10,v10
1997-01-01 00:00:00,-10.886,-3.094,-9.829,-2.797
1997-01-01 01:00:00,-10.55,-3.415,-9.574,-3.125
1997-01-01 02:00:00,-10.199,-3.92,-9.276,-3.581
1997-01-01 03:00:00,-9.754,-3.873,-8.893,-3.544
1997-01-01 04:00:00,-9.22,-3.683,-8.442,-3.378
1997-01-01 05:00:00,-8.572,-3.506,-7.896,-3.24
1997-01-01 06:00:00,-7.812,-3.384,-7.249,-3.139
1997-01-01 07:00:00,-7.187,-3.163,-6.714,-2.945
1997-01-01 08:00:00,-6.663,-2.738,-6.276,-2.562
1997-01-01 09:00:00,-5.883,-2.007,-5.586,-1.88
1997-01-01 10:00:00,-5.433,-1.144,-5.199,-1.062
1997-01-01 11:00:00,-4.302,-1.131,-4.162,-1.058
1997-01-01 12:00:00,-3.148,-1.241,-3.097,-1.159
1997-01-01 13:00:00,-2.122,-0.867,-2.124,-0.782
1997-01-01 14:00:00,-1.193,-0.346,-1.228,-0.256
1997-01-01 15:00:00,-0.34,0.292,-0.393,0.379
1997-01-01 16:00:00,0.612,0.438,0.531,0.528
1997-01-01 17:00:00,1.529,0.398,1.41,0.502
1997-01-01 18:00:00,2.239,0.721,2.079,0.833
1997-01-01 19:00:00,2.898,1.316,2.701,1.424
1997-01-01 20:00:00,3.489,2.446,3.245,2.51
1997-01-01 21:00:00,4.102,3.339,3.799,3.328
1997-01-01 22:00:00,4.166,4.57,3.847,4.429
1997-01-01 23:00:00,4.782,5.502,4.365,5.256
1997-01-02 00:00:00,5.578,6.18,5.041,5.848
1997-01-02 01:00:00,6.062,6.367,5.419,5.955
1997-01-02 02:00:00,6.246,6.137,5.58,5.701
1997-01-02 03:00:00,6.248,5.845,5.601,5.443
1997-01-02 04:00:00,6.217,5.538,5.586,5.195
1997-01-02 05:00:00,5.926,5.465,5.33,5.164
1997-01-02 06:00:00,5.616,5.401,5.064,5.119
1997-01-02 07:00:00,5.01,5.83,4.511,5.507
1997-01-02 08:00:00,4.509,6.005,4.053,5.691
1997-01-02 09:00:00,3.839,6.262,3.434,5.937
1997-01-02 10:00:00,2.236,6.336,1.981,6.019
1997-01-02 11:00:00,1.687,6.358,1.502,6.03
1997-01-02 12:00:00,1.18,6.142,1.04,5.852
1997-01-02 13:00:00,0.534,5.983,0.455,5.703
1997-01-02 14:00:00,-0.197,5.604,-0.224,5.357
1997-01-02 15:00:00,-1.119,5.207,-1.086,4.973
1997-01-02 16:00:00,-2.235,4.539,-2.14,4.342
1997-01-02 17:00:00,-3.874,3.775,-3.681,3.596
1997-01-02 18:00:00,-5.586,3.811,-5.251,3.593
1997-01-02 19:00:00,-6.863,4.371,-6.354,4.063
1997-01-02 20:00:00,-7.548,4.731,-6.902,4.344
1997-01-02 21:00:00,-8.075,4.731,-7.344,4.317
1997-01-02 22:00:00,-8.745,3.835,-7.924,3.488
1997-01-02 23:00:00,-9.944,3.022,-8.962,2.721
1997-01-03 00:00:00,-11.247,2.527,-10.004,2.229
1997-01-03 01:00:00,-11.991,3.05,-10.553,2.656
1997-01-03 02:00:00,-12.321,3.565,-10.763,3.074
1997-01-03 03:00:00,-12.331,3.851,-10.788,3.311
1997-01-03 04:00:00,-12.855,3.431,-11.235,2.938
1997-01-03 05:00:00,-13.811,3.007,-12.002,2.563
1997-01-03 06:00:00,-14.68,2.751,-12.687,2.341
1997-01-03 07:00:00,-15.208,2.243,-12.991,1.87
1997-01-03 08:00:00,-15.687,1.885,-13.32,1.554
1997-01-03 09:00:00,-15.961,1.419,-13.546,1.144
1997-01-03 10:00:00,-17.106,0.63,-14.327,0.445
1997-01-03 11:00:00,-16.8,0.268,-14.035,0.136
1997-01-03 12:00:00,-16.232,0.133,-13.656,0.031
1997-01-03 13:00:00,-15.513,-0.279,-13.18,-0.308
1997-01-03 14:00:00,-15.269,-1.183,-13.061,-1.082
1997-01-03 15:00:00,-15.766,-1.433,-13.479,-1.3
1997-01-03 16:00:00,-15.831,-1.573,-13.456,-1.397
1997-01-03 17:00:00,-15.31,-1.976,-13.021,-1.749
1997-01-03 18:00:00,-14.902,-2.333,-12.747,-2.071
1997-01-03 19:00:00,-14.552,-1.776,-12.54,-1.585
1997-01-03 20:00:00,-14.316,-1.284,-12.458,-1.16
1997-01-03 21:00:00,-14.59,-1.339,-12.737,-1.211
1997-01-03 22:00:00,-16.069,-2.348,-13.801,-2.065
1997-01-03 23:00:00,-16.68,-2.527,-14.121,-2.207
1997-01-04 00:00:00,-16.694,-2.243,-14.03,-1.958
1997-01-04 01:00:00,-16.377,-1.576,-13.77,-1.408
1997-01-04 02:00:00,-15.911,-1.534,-13.455,-1.384
1997-01-04 03:00:00,-15.595,-1.817,-13.265,-1.65
1997-01-04 04:00:00,-15.338,-2.476,-13.116,-2.221
1997-01-04 05:00:00,-15.301,-2.953,-13.09,-2.63
1997-01-04 06:00:00,-15.221,-2.804,-13.029,-2.497
1997-01-04 07:00:00,-14.776,-2.673,-12.679,-2.386
1997-01-04 08:00:00,-14.378,-3.289,-12.394,-2.926
1997-01-04 09:00:00,-14.15,-4.275,-12.234,-3.785
1997-01-04 10:00:00,-14.815,-5.323,-12.685,-4.654
1997-01-04 11:00:00,-14.75,-4.772,-12.615,-4.18
1997-01-04 12:00:00,-14.255,-4.219,-12.259,-3.722
1997-01-04 13:00:00,-13.342,-3.885,-11.587,-3.462
1997-01-04 14:00:00,-12.283,-4.073,-10.801,-3.67
1997-01-04 15:00:00,-11.649,-5.0,-10.328,-4.511
1997-01-04 16:00:00,-11.439,-5.842,-10.158,-5.246
1997-01-04 17:00:00,-11.498,-6.421,-10.17,-5.72
1997-01-04 18:00:00,-11.458,-6.529,-10.093,-5.765
1997-01-04 19:00:00,-11.194,-6.148,-9.843,-5.404
1997-01-04 20:00:00,-10.612,-5.442,-9.383,-4.795
1997-01-04 21:00:00,-9.697,-4.69,-8.686,-4.17
1997-01-04 22:00:00,-8.954,-4.907,-8.086,-4.382
1997-01-04 23:00:00,-8.334,-4.494,-7.581,-4.021
1997-01-05 00:00:00,-7.355,-4.18,-6.752,-3.75
1997-01-05 01:00:00,-6.082,-3.847,-5.656,-3.452
1997-01-05 02:00:00,-5.013,-3.978,-4.719,-3.585
1997-01-05 03:00:00,-3.992,-4.305,-3.801,-3.873
1997-01-05 04:00:00,-3.259,-4.783,-3.134,-4.298
1997-01-05 05:00:00,-2.908,-5.148,-2.813,-4.607
1997-01-05 06:00:00,-2.683,-4.23,-2.62,-3.739
1997-01-05 07:00:00,-2.425,-3.557,-2.399,-3.097
1997-01-05 08:00:00,-2.149,-2.828,-2.151,-2.409
1997-01-05 09:00:00,-1.758,-1.872,-1.781,-1.532
1997-01-05 10:00:00,-1.339,-0.403,-1.367,-0.157
1997-01-05 11:00:00,-0.597,0.615,-0.645,0.768
1997-01-05 12:00:00,0.172,1.12,0.088,1.221
1997-01-05 13:00:00,0.938,0.639,0.844,0.687
1997-01-05 14:00:00,1.397,0.171,1.291,0.232
1997-01-05 15:00:00,1.31,-0.257,1.204,-0.174
1997-01-05 16:00:00,0.953,-0.483,0.874,-0.41
1997-01-05 17:00:00,0.168,-0.109,0.116,-0.049
1997-01-05 18:00:00,-0.595,0.741,-0.656,0.775
1997-01-05 19:00:00,-1.56,1.861,-1.575,1.844
1997-01-05 20:00:00,-2.536,3.1,-2.491,3.004
1997-01-05 21:00:00,-3.247,4.049,-3.14,3.885
1997-01-05 22:00:00,-3.3,4.327,-3.189,4.193
1997-01-05 23:00:00,-3.452,3.617,-3.352,3.518
1997-01-06 00:00:00,-3.648,2.444,-3.577,2.408
1997-01-06 01:00:00,-4.126,1.07,-4.044,1.112
1997-01-06 02:00:00,-4.667,0.49,-4.574,0.549
1997-01-06 03:00:00,-4.946,0.321,-4.826,0.367
1997-01-06 04:00:00,-5.148,0.384,-5.004,0.425
1997-01-06 05:00:00,-5.426,0.748,-5.245,0.773
1997-01-06 06:00:00,-5.508,1.302,-5.294,1.306
1997-01-06 07:00:00,-5.512,1.734,-5.257,1.722
1997-01-06 08:00:00,-5.382,2.024,-5.119,2.007
1997-01-06 09:00:00,-5.038,2.458,-4.778,2.425
1997-01-06 10:00:00,-4.637,3.241,-4.386,3.178
1997-01-06 11:00:00,-3.872,3.023,-3.672,2.992
1997-01-06 12:00:00,-3.244,2.858,-3.085,2.855
1997-01-06 13:00:00,-2.641,2.67,-2.515,2.68
1997-01-06 14:00:00,-2.192,1.986,-2.097,2.023
1997-01-06 15:00:00,-1.739,1.188,-1.671,1.254
1997-01-06 16:00:00,-1.656,0.341,-1.587,0.435
1997-01-06 17:00:00,-1.745,-0.214,-1.667,-0.113
1997-01-06 18:00:00,-1.829,-0.767,-1.749,-0.66
1997-01-06 19:00:00,-1.89,-1.253,-1.799,-1.139
1997-01-06 20:00:00,-1.99,-1.488,-1.895,-1.372
1997-01-06 21:00:00,-2.116,-1.29,-2.028,-1.183
1997-01-06 22:00:00,-1.58,-0.085,-1.532,-0.008
1997-01-06 23:00:00,-1.381,0.002,-1.345,0.081
1997-01-07 00:00:00,-1.017,-0.099,-1.012,-0.016
1997-01-07 01:00:00,-0.59,-0.051,-0.599,0.044
1997-01-07 02:00:00,-0.282,-0.157,-0.299,-0.057
1997-01-07 03:00:00,-0.19,-0.251,-0.209,-0.142
1997-01-07 04:00:00,-0.14,-0.306,-0.161,-0.174
1997-01-07 05:00:00,-0.231,-0.039,-0.245,0.075
1997-01-07 06:00:00,-0.122,0.62,-0.144,0.691
1997-01-07 07:00:00,-0.016,0.528,0.002,0.723
1997-01-07 08:00:00,0.256,1.179,0.235,1.253
