Time [UTC],u100,v100,u10,v10
2023-01-01 00:00:00,15.961,13.725,11.506,10.16
2023-01-01 01:00:00,17.306,12.049,12.534,8.974
2023-01-01 02:00:00,15.965,11.148,11.595,8.411
2023-01-01 03:00:00,15.744,10.693,11.462,8.128
2023-01-01 04:00:00,14.457,10.349,10.498,7.915
2023-01-01 05:00:00,13.927,11.037,10.105,8.469
2023-01-01 06:00:00,14.895,10.909,10.915,8.465
2023-01-01 07:00:00,15.203,10.909,11.179,8.496
2023-01-01 08:00:00,16.146,10.973,12.051,8.596
2023-01-01 09:00:00,16.093,10.956,12.024,8.53
2023-01-01 10:00:00,16.153,10.969,12.102,8.573
2023-01-01 11:00:00,14.999,11.084,11.148,8.619
2023-01-01 12:00:00,15.039,11.925,11.229,9.282
2023-01-01 13:00:00,14.855,10.912,10.999,8.497
2023-01-01 14:00:00,14.657,9.86,10.871,7.707
2023-01-01 15:00:00,12.764,10.33,9.529,8.146
2023-01-01 16:00:00,11.906,10.762,8.898,8.442
2023-01-01 17:00:00,10.885,10.591,8.054,8.319
2023-01-01 18:00:00,9.717,10.604,7.038,8.259
2023-01-01 19:00:00,9.358,10.8,6.807,8.447
2023-01-01 20:00:00,8.633,11.09,6.287,8.658
2023-01-01 21:00:00,7.844,10.449,5.548,8.049
2023-01-01 22:00:00,5.687,9.342,3.662,7.129
2023-01-01 23:00:00,4.792,9.101,3.015,6.991
2023-01-02 00:00:00,4.664,7.584,3.042,5.966
2023-01-02 01:00:00,4.6,4.56,3.078,3.69
2023-01-02 02:00:00,4.401,2.185,3.225,1.899
2023-01-02 03:00:00,2.828,0.291,2.21,0.257
2023-01-02 04:00:00,3.032,-0.66,2.542,-0.696
2023-01-02 05:00:00,3.43,-1.655,2.89,-1.525
2023-01-02 06:00:00,4.249,-2.26,3.573,-1.919
2023-01-02 07:00:00,4.883,-2.028,4.185,-1.646
2023-01-02 08:00:00,5.997,-0.685,5.079,-0.457
2023-01-02 09:00:00,7.503,2.475,6.143,2.262
2023-01-02 10:00:00,8.591,3.802,7.405,3.403
2023-01-02 11:00:00,9.233,4.884,7.752,4.219
2023-01-02 12:00:00,10.546,4.941,8.461,4.105
2023-01-02 13:00:00,11.931,3.422,9.579,2.886
2023-01-02 14:00:00,11.678,1.186,9.555,1.106
2023-01-02 15:00:00,11.952,0.06,10.004,0.169
2023-01-02 16:00:00,12.336,-0.414,10.419,-0.251
2023-01-02 17:00:00,12.251,-0.481,10.412,-0.333
2023-01-02 18:00:00,12.061,-0.59,10.311,-0.421
2023-01-02 19:00:00,11.847,-0.643,10.186,-0.468
2023-01-02 20:00:00,11.489,-0.817,9.93,-0.633
2023-01-02 21:00:00,11.009,-1.205,9.614,-0.977
2023-01-02 22:00:00,10.158,-1.578,8.929,-1.276
2023-01-02 23:00:00,9.753,-1.081,8.644,-0.873
2023-01-03 00:00:00,9.805,-0.198,8.733,-0.103
2023-01-03 01:00:00,9.997,0.543,8.908,0.544
2023-01-03 02:00:00,9.441,0.635,8.436,0.628
2023-01-03 03:00:00,8.547,0.812,7.687,0.792
2023-01-03 04:00:00,7.538,1.056,6.832,1.017
2023-01-03 05:00:00,6.493,1.774,5.92,1.675
2023-01-03 06:00:00,5.77,2.843,5.277,2.666
2023-01-03 07:00:00,5.454,4.468,4.964,4.142
2023-01-03 08:00:00,5.362,6.033,4.814,5.498
2023-01-03 09:00:00,5.162,7.576,4.559,6.798
2023-01-03 10:00:00,4.934,8.801,4.269,7.757
2023-01-03 11:00:00,3.642,9.929,3.015,8.642
2023-01-03 12:00:00,1.678,10.997,1.282,9.489
2023-01-03 13:00:00,2.242,12.2,1.775,10.373
2023-01-03 14:00:00,3.15,12.822,2.459,10.597
2023-01-03 15:00:00,3.017,13.47,2.243,10.933
2023-01-03 16:00:00,2.394,14.904,1.645,11.797
2023-01-03 17:00:00,1.669,16.764,0.877,12.877
2023-01-03 18:00:00,0.545,16.682,0.023,12.843
2023-01-03 19:00:00,1.221,17.079,0.335,12.598
2023-01-03 20:00:00,2.983,17.452,1.704,12.711
2023-01-03 21:00:00,3.924,17.856,2.455,13.031
2023-01-03 22:00:00,4.566,19.42,2.62,14.083
2023-01-03 23:00:00,5.676,20.096,3.179,14.071
2023-01-04 00:00:00,6.978,19.769,4.726,14.978
2023-01-04 01:00:00,8.131,19.447,5.729,14.815
2023-01-04 02:00:00,9.671,18.893,6.84,14.312
2023-01-04 03:00:00,12.359,15.518,8.74,11.823
2023-01-04 04:00:00,14.93,12.036,10.743,9.327
2023-01-04 05:00:00,16.653,10.678,12.137,8.294
2023-01-04 06:00:00,17.498,10.372,12.798,8.038
2023-01-04 07:00:00,16.661,10.43,12.123,8.082
2023-01-04 08:00:00,17.075,9.704,12.455,7.567
2023-01-04 09:00:00,17.746,8.75,12.997,6.835
2023-01-04 10:00:00,18.127,7.963,13.303,6.235
2023-01-04 11:00:00,17.289,7.688,12.757,6.085
2023-01-04 12:00:00,17.69,7.032,13.106,5.668
2023-01-04 13:00:00,18.311,5.406,13.686,4.463
2023-01-04 14:00:00,18.021,5.175,13.556,4.303
2023-01-04 15:00:00,17.929,5.743,13.492,4.745
2023-01-04 16:00:00,18.473,5.919,13.931,4.878
2023-01-04 17:00:00,19.013,4.98,14.364,4.161
2023-01-04 18:00:00,19.416,3.37,14.703,2.904
2023-01-04 19:00:00,19.528,1.331,14.842,1.336
2023-01-04 20:00:00,18.932,-1.983,14.611,-1.357
2023-01-04 21:00:00,17.747,-3.349,13.9,-2.454
2023-01-04 22:00:00,16.537,-3.245,12.849,-2.251
2023-01-04 23:00:00,15.819,-3.711,12.515,-2.687
2023-01-05 00:00:00,15.117,-4.104,12.063,-2.981
2023-01-05 01:00:00,14.935,-3.993,11.778,-2.828
2023-01-05 02:00:00,15.006,-4.795,12.062,-3.51
2023-01-05 03:00:00,13.99,-4.574,11.101,-3.266
2023-01-05 04:00:00,13.271,-4.45,10.72,-3.221
2023-01-05 05:00:00,12.686,-4.063,10.401,-2.978
2023-01-05 06:00:00,12.035,-4.079,9.976,-3.108
2023-01-05 07:00:00,11.242,-4.106,9.397,-3.221
2023-01-05 08:00:00,10.375,-3.938,8.754,-3.15
2023-01-05 09:00:00,9.343,-3.596,7.961,-2.906
2023-01-05 10:00:00,8.03,-2.51,7.077,-2.072
2023-01-05 11:00:00,7.636,-1.605,6.759,-1.354
2023-01-05 12:00:00,7.072,-0.849,6.285,-0.727
2023-01-05 13:00:00,7.019,-0.012,6.266,-0.011
2023-01-05 14:00:00,6.336,0.291,5.592,0.266
2023-01-05 15:00:00,5.013,1.221,4.287,1.136
2023-01-05 16:00:00,3.281,3.238,2.525,2.951
2023-01-05 17:00:00,1.963,5.492,1.073,4.661
2023-01-05 18:00:00,1.709,7.934,0.665,6.231
2023-01-05 19:00:00,2.165,9.415,1.083,7.376
2023-01-05 20:00:00,2.077,10.712,1.183,8.558
2023-01-05 21:00:00,2.404,11.766,1.392,9.249
2023-01-05 22:00:00,4.998,11.143,3.028,8.662
2023-01-05 23:00:00,7.3,10.69,4.868,8.325
2023-01-06 00:00:00,8.151,11.233,5.664,8.668
2023-01-06 01:00:00,9.547,11.916,6.953,9.208
2023-01-06 02:00:00,10.673,13.091,7.863,10.087
2023-01-06 03:00:00,10.739,14.166,7.839,10.872
2023-01-06 04:00:00,10.808,14.911,7.819,11.397
2023-01-06 05:00:00,11.884,14.156,8.703,10.799
2023-01-06 06:00:00,16.276,5.649,12.443,4.6
2023-01-06 07:00:00,14.35,0.442,11.331,0.577
2023-01-06 08:00:00,14.662,3.179,11.486,2.753
2023-01-06 09:00:00,14.633,3.97,11.494,3.416
2023-01-06 10:00:00,13.497,5.821,10.816,4.995
2023-01-06 11:00:00,13.827,7.744,10.969,6.459
2023-01-06 12:00:00,14.499,8.001,11.447,6.648
2023-01-06 13:00:00,14.133,7.567,11.072,6.281
2023-01-06 14:00:00,13.493,6.711,10.532,5.603
2023-01-06 15:00:00,13.189,6.585,10.245,5.517
2023-01-06 16:00:00,12.818,7.317,9.988,6.089
2023-01-06 17:00:00,11.881,7.728,9.255,6.418
2023-01-06 18:00:00,10.872,8.021,8.418,6.586
2023-01-06 19:00:00,10.31,7.753,7.839,6.272
2023-01-06 20:00:00,9.874,7.881,6.954,6.133
2023-01-06 21:00:00,8.731,7.657,6.401,6.119
2023-01-06 22:00:00,7.059,7.976,5.14,6.386
2023-01-06 23:00:00,5.612,8.96,3.936,7.112
2023-01-07 00:00:00,4.344,10.342,2.823,8.1
2023-01-07 01:00:00,4.292,11.085,2.645,8.595
2023-01-07 02:00:00,5.238,11.905,3.26,9.163
2023-01-07 03:00:00,8.361,12.308,5.718,9.516
2023-01-07 04:00:00,9.387,11.932,6.62,9.147
2023-01-07 05:00:00,8.342,12.379,5.872,9.434
2023-01-07 06:00:00,7.288,13.376,5.123,10.226
2023-01-07 07:00:00,6.919,14.458,4.868,11.071
2023-01-07 08:00:00,6.253,14.756,4.364,11.283
2023-01-07 09:00:00,5.096,15.021,3.533,11.524
2023-01-07 10:00:00,4.436,15.384,2.915,11.746
2023-01-07 11:00:00,3.849,15.87,2.481,12.103
2023-01-07 12:00:00,2.456,16.412,1.454,12.427
2023-01-07 13:00:00,1.527,17.27,0.789,13.032
2023-01-07 14:00:00,1.254,17.485,0.592,13.188
2023-01-07 15:00:00,1.098,17.19,0.461,12.984
2023-01-07 16:00:00,1.027,17.072,0.384,12.915
2023-01-07 17:00:00,1.503,17.39,0.752,13.235
2023-01-07 18:00:00,1.559,17.286,0.784,13.162
2023-01-07 19:00:00,1.829,17.235,0.943,13.095
2023-01-07 20:00:00,2.246,17.33,1.241,13.216
2023-01-07 21:00:00,3.321,17.506,2.055,13.366
2023-01-07 22:00:00,4.709,17.393,3.119,13.355
2023-01-07 23:00:00,5.021,17.311,3.392,13.314
2023-01-08 00:00:00,7.257,17.959,5.108,13.807
2023-01-08 01:00:00,10.562,14.787,7.723,11.494
2023-01-08 02:00:00,10.496,12.307,7.822,9.632
2023-01-08 03:00:00,10.865,12.062,8.309,9.576
2023-01-08 04:00:00,9.073,11.407,6.878,9.128
2023-01-08 05:00:00,7.063,12.659,5.224,10.139
2023-01-08 06:00:00,8.192,14.812,6.193,11.685
2023-01-08 07:00:00,8.765,15.179,6.796,12.097
2023-01-08 08:00:00,6.549,13.344,4.876,10.569
2023-01-08 09:00:00,5.573,13.644,4.121,10.842
2023-01-08 10:00:00,4.744,14.165,3.36,11.178
2023-01-08 11:00:00,4.832,13.97,3.466,11.128
2023-01-08 12:00:00,6.001,14.674,4.5,11.593
2023-01-08 13:00:00,5.866,14.817,4.451,11.794
2023-01-08 14:00:00,6.093,14.611,4.728,11.733
2023-01-08 15:00:00,5.943,14.141,4.613,11.406
2023-01-08 16:00:00,5.741,13.887,4.439,11.214
2023-01-08 17:00:00,4.171,14.038,3.05,11.114
2023-01-08 18:00:00,1.539,14.198,0.832,11.066
2023-01-08 19:00:00,-0.512,14.671,-0.79,11.446
2023-01-08 20:00:00,-1.028,15.666,-1.176,12.186
2023-01-08 21:00:00,-0.663,16.063,-0.826,12.649
2023-01-08 22:00:00,-0.627,15.11,-0.785,11.452
2023-01-08 23:00:00,-0.068,15.32,-0.333,12.055
2023-01-09 00:00:00,2.073,15.167,1.438,12.308
2023-01-09 01:00:00,5.567,13.121,4.444,10.898
2023-01-09 02:00:00,8.307,10.067,6.862,8.526
2023-01-09 03:00:00,10.286,7.141,8.694,6.158
2023-01-09 04:00:00,10.624,6.239,9.008,5.4
2023-01-09 05:00:00,9.609,5.751,8.189,5.007
2023-01-09 06:00:00,8.885,5.758,7.644,5.053
2023-01-09 07:00:00,8.379,6.306,7.222,5.52
2023-01-09 08:00:00,7.91,6.534,6.875,5.751
2023-01-09 09:00:00,7.187,6.397,6.232,5.652
2023-01-09 10:00:00,6.826,6.415,5.982,5.682
2023-01-09 11:00:00,7.25,5.761,6.329,5.127
2023-01-09 12:00:00,7.549,4.444,6.614,3.946
2023-01-09 13:00:00,8.291,3.073,7.299,2.748
2023-01-09 14:00:00,8.918,1.539,7.839,1.395
2023-01-09 15:00:00,8.95,0.81,7.902,0.763
2023-01-09 16:00:00,9.315,0.44,8.246,0.429
2023-01-09 17:00:00,9.335,0.137,8.239,0.156
2023-01-09 18:00:00,9.392,-0.178,8.258,-0.087
2023-01-09 19:00:00,9.588,-1.003,8.39,-0.785
2023-01-09 20:00:00,9.916,-1.516,8.632,-1.241
2023-01-09 21:00:00,10.456,-1.615,9.049,-1.327
2023-01-09 22:00:00,10.97,-2.3,9.453,-1.945
2023-01-09 23:00:00,9.964,-1.251,8.672,-1.035
2023-01-10 00:00:00,9.77,0.018,8.58,0.078
2023-01-10 01:00:00,9.6,1.434,8.405,1.322
2023-01-10 02:00:00,8.832,2.209,7.737,2.006
2023-01-10 03:00:00,8.575,2.853,7.563,2.578
2023-01-10 04:00:00,9.598,1.988,8.422,1.82
2023-01-10 05:00:00,8.766,0.068,7.724,0.141
2023-01-10 06:00:00,7.832,0.481,6.954,0.515
2023-01-10 07:00:00,8.251,1.862,7.294,1.714
2023-01-10 08:00:00,8.711,3.479,7.637,3.113
2023-01-10 09:00:00,9.366,4.815,8.12,4.245
2023-01-10 10:00:00,8.825,7.058,7.594,6.134
2023-01-10 11:00:00,7.673,8.991,6.525,7.714
2023-01-10 12:00:00,7.428,11.266,6.149,9.474
2023-01-10 13:00:00,7.254,12.986,5.87,10.693
