Time [UTC],u100,v100,u10,v10
2009-01-01 00:00:00,0.779,-6.39,0.746,-5.912
2009-01-01 01:00:00,1.116,-6.178,1.076,-5.695
2009-01-01 02:00:00,1.301,-6.396,1.258,-5.868
2009-01-01 03:00:00,1.478,-6.571,1.436,-5.998
2009-01-01 04:00:00,1.609,-6.729,1.537,-6.13
2009-01-01 05:00:00,1.899,-6.57,1.802,-5.949
2009-01-01 06:00:00,1.484,-6.998,1.392,-6.324
2009-01-01 07:00:00,1.073,-6.981,1.02,-6.27
2009-01-01 08:00:00,1.11,-6.799,1.061,-6.118
2009-01-01 09:00:00,1.263,-6.854,1.204,-6.188
2009-01-01 10:00:00,1.152,-6.69,1.117,-6.052
2009-01-01 11:00:00,0.3,-6.478,0.321,-5.89
2009-01-01 12:00:00,-0.429,-6.175,-0.367,-5.64
2009-01-01 13:00:00,-0.372,-5.93,-0.336,-5.445
2009-01-01 14:00:00,0.31,-5.73,0.283,-5.297
2009-01-01 15:00:00,1.184,-5.865,1.068,-5.452
2009-01-01 16:00:00,2.088,-6.242,1.885,-5.819
2009-01-01 17:00:00,2.836,-6.615,2.58,-6.154
2009-01-01 18:00:00,3.115,-6.923,2.85,-6.419
2009-01-01 19:00:00,2.862,-6.91,2.64,-6.389
2009-01-01 20:00:00,2.402,-6.649,2.236,-6.139
2009-01-01 21:00:00,1.625,-6.261,1.521,-5.813
2009-01-01 22:00:00,0.874,-5.071,0.818,-4.753
2009-01-01 23:00:00,0.324,-4.817,0.294,-4.552
2009-01-02 00:00:00,-0.843,-5.157,-0.822,-4.872
2009-01-02 01:00:00,-3.0,-5.42,-2.838,-5.101
2009-01-02 02:00:00,-4.936,-5.287,-4.605,-4.922
2009-01-02 03:00:00,-6.144,-4.755,-5.694,-4.397
2009-01-02 04:00:00,-6.565,-4.371,-6.048,-4.038
2009-01-02 05:00:00,-6.56,-4.245,-6.042,-3.941
2009-01-02 06:00:00,-6.196,-4.31,-5.732,-4.006
2009-01-02 07:00:00,-5.562,-4.424,-5.168,-4.118
2009-01-02 08:00:00,-4.576,-4.012,-4.303,-3.76
2009-01-02 09:00:00,-3.628,-3.871,-3.449,-3.645
2009-01-02 10:00:00,-2.887,-3.91,-2.768,-3.681
2009-01-02 11:00:00,-1.546,-3.767,-1.515,-3.552
2009-01-02 12:00:00,-0.662,-4.382,-0.67,-4.136
2009-01-02 13:00:00,-0.36,-5.047,-0.37,-4.764
2009-01-02 14:00:00,-0.104,-5.489,-0.108,-5.167
2009-01-02 15:00:00,0.016,-6.151,0.019,-5.779
2009-01-02 16:00:00,-0.34,-6.74,-0.304,-6.319
2009-01-02 17:00:00,-0.956,-6.371,-0.87,-5.989
2009-01-02 18:00:00,-1.02,-5.596,-0.936,-5.305
2009-01-02 19:00:00,-0.613,-5.067,-0.563,-4.841
2009-01-02 20:00:00,0.011,-4.673,0.019,-4.472
2009-01-02 21:00:00,0.774,-4.348,0.734,-4.165
2009-01-02 22:00:00,1.693,-4.623,1.616,-4.382
2009-01-02 23:00:00,2.456,-4.773,2.311,-4.466
2009-01-03 00:00:00,3.146,-4.625,2.962,-4.295
2009-01-03 01:00:00,4.218,-4.336,3.947,-3.998
2009-01-03 02:00:00,5.468,-4.692,5.061,-4.291
2009-01-03 03:00:00,6.673,-5.412,6.082,-4.912
2009-01-03 04:00:00,7.559,-6.091,6.791,-5.435
2009-01-03 05:00:00,8.069,-6.163,7.174,-5.424
2009-01-03 06:00:00,8.779,-6.168,7.748,-5.392
2009-01-03 07:00:00,9.314,-6.091,8.16,-5.277
2009-01-03 08:00:00,9.819,-6.45,8.552,-5.559
2009-01-03 09:00:00,9.895,-6.788,8.602,-5.833
2009-01-03 10:00:00,10.478,-6.915,9.04,-5.889
2009-01-03 11:00:00,11.088,-6.083,9.48,-5.103
2009-01-03 12:00:00,12.451,-7.282,10.557,-6.079
2009-01-03 13:00:00,12.56,-8.427,10.538,-6.98
2009-01-03 14:00:00,12.038,-8.958,10.07,-7.408
2009-01-03 15:00:00,12.005,-8.578,10.014,-7.056
2009-01-03 16:00:00,12.563,-8.142,10.377,-6.61
2009-01-03 17:00:00,13.193,-7.953,10.771,-6.344
2009-01-03 18:00:00,13.6,-8.13,11.036,-6.448
2009-01-03 19:00:00,13.809,-9.686,11.229,-7.766
2009-01-03 20:00:00,13.527,-9.787,10.999,-7.852
2009-01-03 21:00:00,13.168,-9.545,10.751,-7.693
2009-01-03 22:00:00,13.624,-9.144,11.253,-7.459
2009-01-03 23:00:00,12.785,-8.626,10.545,-7.046
2009-01-04 00:00:00,12.549,-8.464,10.415,-6.948
2009-01-04 01:00:00,12.03,-8.192,9.99,-6.715
2009-01-04 02:00:00,11.86,-8.569,9.916,-7.092
2009-01-04 03:00:00,11.627,-8.477,9.708,-7.004
2009-01-04 04:00:00,11.321,-8.421,9.521,-6.985
2009-01-04 05:00:00,11.096,-8.577,9.392,-7.156
2009-01-04 06:00:00,10.39,-8.721,8.818,-7.293
2009-01-04 07:00:00,8.898,-8.953,7.645,-7.611
2009-01-04 08:00:00,6.833,-8.881,5.957,-7.681
2009-01-04 09:00:00,4.717,-8.395,4.167,-7.404
2009-01-04 10:00:00,5.389,-8.741,4.721,-7.555
2009-01-04 11:00:00,4.45,-8.274,3.984,-7.266
2009-01-04 12:00:00,3.782,-8.159,3.395,-7.263
2009-01-04 13:00:00,2.6,-8.733,2.366,-7.839
2009-01-04 14:00:00,0.719,-9.262,0.643,-8.345
2009-01-04 15:00:00,-1.434,-8.774,-1.288,-7.909
2009-01-04 16:00:00,-2.821,-7.673,-2.568,-6.969
2009-01-04 17:00:00,-4.193,-6.502,-3.868,-5.947
2009-01-04 18:00:00,-6.001,-5.808,-5.531,-5.322
2009-01-04 19:00:00,-8.161,-5.176,-7.438,-4.712
2009-01-04 20:00:00,-9.874,-4.264,-8.843,-3.815
2009-01-04 21:00:00,-10.626,-3.661,-9.388,-3.225
2009-01-04 22:00:00,-10.981,-2.731,-9.669,-2.455
2009-01-04 23:00:00,-11.211,-3.9,-9.88,-3.468
2009-01-05 00:00:00,-12.046,-5.037,-10.562,-4.417
2009-01-05 01:00:00,-12.318,-5.691,-10.747,-4.955
2009-01-05 02:00:00,-11.75,-6.049,-10.311,-5.291
2009-01-05 03:00:00,-10.869,-6.486,-9.629,-5.727
2009-01-05 04:00:00,-10.529,-6.557,-9.38,-5.825
2009-01-05 05:00:00,-10.945,-6.034,-9.762,-5.387
2009-01-05 06:00:00,-11.465,-5.311,-10.195,-4.742
2009-01-05 07:00:00,-11.506,-4.868,-10.236,-4.351
2009-01-05 08:00:00,-11.359,-4.785,-10.122,-4.28
2009-01-05 09:00:00,-11.031,-4.953,-9.855,-4.442
