,x,y
0,307422.43,6150881.63
1,287848.12,6147078.35
2,306606.75,6149641.49
3,288800.18,6148217.00
4,306037.24,6151412.47
5,289131.09,6146334.13
6,300204.04,6139907.35
7,289752.22,6149355.66
8,305791.08,6148401.34
9,294930.34,6155548.87
10,304647.33,6151930.09
11,290414.07,6145589.93
12,301019.77,6141147.46
13,305221.57,6150172.33
14,290083.15,6147472.78
15,298922.76,6140654.38
16,290704.27,6150494.32
17,304975.39,6147161.22
18,293978.33,6154410.18
19,301835.48,6142387.58
20,291656.31,6151632.98
21,296320.25,6155031.25
22,303257.42,6152447.72
23,293026.30,6153271.51
24,291697.04,6144845.72
25,304159.68,6145921.09
26,297639.78,6141398.58
27,291035.19,6148611.44
28,304405.90,6148932.19
29,302651.18,6143627.70
30,299738.49,6141894.48
31,303831.66,6150689.95
32,291366.12,6146728.58
33,297710.16,6154513.61
34,301867.51,6152965.34
35,292980.02,6144101.52
36,296356.80,6142142.79
37,295368.24,6153892.56
38,302933.27,6145085.13
39,299100.07,6153995.98
40,291987.24,6149750.10
41,294263.00,6143357.31
42,303590.20,6147692.06
43,293132.02,6151791.86
44,300434.88,6153349.54
45,300554.19,6143134.61
46,294416.22,6152753.88
47,302441.75,6151207.57
48,298455.51,6142638.69
49,292649.10,6145984.37
50,292318.17,6147867.23
51,303015.99,6149449.80
52,296758.15,6153374.92
53,301369.90,6144374.73
54,302650.64,6146542.48
55,295741.21,6143492.19
56,293355.53,6150325.75
57,301051.84,6151725.20
58,294265.21,6144842.04
59,297224.90,6143469.00
60,298148.06,6152857.29
61,299271.21,6143878.81
62,295806.12,6152236.24
63,294521.93,6151274.24
64,302200.29,6148209.68
65,299482.87,6152210.85
66,293433.74,6148844.76
67,293601.15,6147123.03
68,301333.92,6145857.80
69,301626.08,6149967.43
70,300025.77,6145155.59
71,295743.42,6144976.92
72,297196.03,6151718.62
73,294785.88,6146230.86
74,298040.61,6144709.12
75,294745.44,6149808.12
76,300236.16,6150485.06
77,301022.19,6147308.58
78,295911.84,6150756.60
79,300753.70,6148768.02
80,294716.72,6148100.55
81,298530.84,6151072.17
82,296999.09,6145766.69
83,299714.04,6146606.37
84,297301.75,6150238.98
85,295901.45,6147208.38
86,299363.79,6149285.65
87,296135.35,6149290.49
88,298229.66,6146597.04
89,298546.33,6148046.58
90,297062.87,6148131.98
